strongs,translit,bucket,final_gloss,final_source,review_flag,definition_es,dominant_gloss_share,occurrences,pct_running_tokens,tbesh_gloss,proposed_gloss,proposed_source,held_reason,rvr1960_db_form
H2167,za.mar,judgment,tocar,definition_es-head,,"tocar (un instrumento); hacer música, acompañada por la voz; de ahí, celebrar c…",0.533,45,0.0148,to sing,,,no dominant sense (top 0.53),
H2168,za.mar,mechanical,podar,definition_es-head,,podar (una vid),1.000,3,0.0010,to prune,podar,definition_es-head,,
H2169,ze.mer,mechanical,gacela,definition_es-head,,una gacela (por tocar el suelo levemente),1.000,1,0.0003,mountain goat,gacela,definition_es-head,,
H2170,ze.mar,mechanical,música instrumental,definition_es-head,,(arameo) música instrumental,1.000,4,0.0013,music,música instrumental,definition_es-head,,
H2171,zam.mar,mechanical,músico instrumental,definition_es-head,,(arameo) un músico instrumental,1.000,1,0.0003,singer,músico instrumental,definition_es-head,,
H2172,zim.rah,judgment,melodía,tbesh-head-es,,una pieza musical o canción para acompañar con un instrumento,1.000,4,0.0013,melody,,,definition_es not condensable to a terse gloss,
H2173,zim.rah,mechanical,fruto podado,definition_es-head,,"fruto podado (es decir, selecto)",1.000,1,0.0003,best,fruto podado,definition_es-head,,
H2174,zim.ri,proper-noun,Zimri,defEs-name,,"Zimri, el nombre de cinco israelitas, y de una tribu árabe",1.000,15,0.0049,Zimri,Zimri,tbesh-en-placeholder,,Zimri
H2175,zim.ran,proper-noun,Zimran,defEs-name,,"Zimran, un hijo de Abraham por Cetura",1.000,2,0.0007,Zimran,Zimran,tbesh-en-placeholder,,
H2176,zim.rat,mechanical,cántico,tbesh-map,,"música instrumental; por implicación, alabanza (canción)",1.000,3,0.0010,song,cántico,tbesh-map,,
H2177,zan,mechanical,nutrido,definition_es-head,,"de H2109 (זוּן); propiamente, nutrido (o plenamente desarrollado), es decir una…",1.000,3,0.0010,kind,nutrido,definition_es-head,,
H2178,zan,mechanical,clase,definition_es-head,,(arameo) clase (especie),1.000,4,0.0013,kind,clase,definition_es-head,,
H2179,za.nav,mechanical,acortar,definition_es-head,,"acortar, es decir cortar la retaguardia",1.000,2,0.0007,to cut off the tail,acortar,definition_es-head,,
H2180,za.nav,judgment,cola,definition_es-head,,la cola (literal o figurativamente),0.727,11,0.0036,tail,,,no dominant sense (top 0.73),
H2181,za.nah,judgment,cometer adulterio,definition_es-head,,"cometer adulterio (usualmente de la mujer, y con menos frecuencia de la simple…",0.372,94,0.0308,to fornicate,,,no dominant sense (top 0.37),
H2182,za.no.ach,proper-noun,Zanoa,defEs-name,,"Zanoa, nombre de dos lugares en Palestina",1.000,5,0.0016,Zanoah,Zanoah,tbesh-en-placeholder,,Zanoa
H2183,za.nun,mechanical,adulterio,definition_es-head,,"adulterio; figurativamente, idolatría, fornicación",1.000,12,0.0039,fornication,adulterio,definition_es-head,,
H2184,ze.nut,mechanical,adulterio,definition_es-head,,"adulterio, es decir, (figurativamente) infidelidad, idolatría, fornicación",1.000,9,0.0030,fornication,adulterio,definition_es-head,,
H2186,za.nach,mechanical,rechazar,tbesh-map,,"rechazar, desamparar, fallar, desechar",0.850,20,0.0066,to reject,rechazar,tbesh-map,,
H2187,za.naq,mechanical,juntar las patas,definition_es-head,,"propiamente, juntar las patas (como un animal a punto de lanzarse sobre su pres…",1.000,1,0.0003,to leap,juntar las patas,definition_es-head,,
H2188,ze.ah,mechanical,transpiración,definition_es-head,,transpiración,1.000,1,0.0003,sweat,transpiración,definition_es-head,,
H2189,za.a.vah,mechanical,"agitación, maltrato",definition_es-head,,"agitación, maltrato, horror, escarnio",1.000,7,0.0023,horror,"agitación, maltrato",definition_es-head,,
H2190,za.a.van,proper-noun,Zaaván,defEs-name,,"Zaaván, un idumeo",1.000,2,0.0007,Zaavan,Zaavan,tbesh-en-placeholder,,Zaaván
H2191,ze.er,mechanical,poco,tbesh-map,,pequeño,1.000,5,0.0016,little,poco,tbesh-map,,
H2192,ze.er,mechanical,poco,tbesh-map,,(arameo) pequeño,1.000,1,0.0003,little,poco,tbesh-map,,
H2193,za.akh,mechanical,extinguir,definition_es-head,,extinguir,1.000,1,0.0003,to extinguish,extinguir,definition_es-head,,
H2194,za.am,judgment,indignarse,tbesh-head-es,,"raíz primitiva; propiamente, echar espuma por la boca, es decir, estar airado,…",0.417,12,0.0039,be indignant,,,no dominant sense (top 0.42),
H2195,za.am,mechanical,indignación,tbesh-map,,"estrictamente, espuma en la boca, es decir, (figurativamente) furor (especialme…",1.000,22,0.0072,indignation,indignación,tbesh-map,,
H2196,za.aph,judgment,enfurecer,tbesh-head-es,,"raíz primitiva; propiamente, hervir, es decir (figurativamente) estar malhumora…",0.400,5,0.0016,to enrage,,,no dominant sense (top 0.40),
H2197,za.aph,judgment,ira,definition_es-head,,ira,0.667,6,0.0020,rage,,,no dominant sense (top 0.67),
H2198,za.eph,mechanical,enojado,definition_es-head,,enojado,1.000,2,0.0007,vexed,enojado,definition_es-head,,
H2199,za.aq,judgment,chillar,definition_es-head,,"chillar / clamar (por angustia o peligro); por analogía, (como heraldo) anuncia…",0.384,73,0.0239,to cry out,,,no dominant sense (top 0.38),
H2200,ze.iq,mechanical,clamar,tbesh-head-es,,,1.000,1,0.0003,to cry out,,tbesh-untranslated,,
H2201,ze.a.qah,judgment,grito o clamor,definition_es-head,,un grito o clamor,0.444,18,0.0059,outcry,,,no dominant sense (top 0.44),
H2202,ziph.ron,proper-noun,Zifrón,defEs-name,,"Zifrón, un lugar en Palestina",1.000,1,0.0003,Ziphron,Ziphron,tbesh-en-placeholder,,Zifrón
H2203,ze.phet,mechanical,asfalto,definition_es-head,,asfalto (brea) (por su tendencia a ablandarse al sol),1.000,3,0.0010,pitch,asfalto,definition_es-head,,
H2204,za.qen,mechanical,"ser viejo, envejecer",definition_es-head,,"ser viejo, envejecer",0.889,27,0.0089,be old,"ser viejo, envejecer",definition_es-head,,
H2205,za.qen,judgment,anciano,definition_es-head,,anciano / viejo,0.702,178,0.0584,old,,,no dominant sense (top 0.70),
H2206,za.qan,mechanical,barba,definition_es-head,,la barba (como indicadora de edad),0.947,19,0.0062,beard,barba,definition_es-head,,
H2207,zo.qen,mechanical,vejez,definition_es-head,,vejez,1.000,1,0.0003,old age,vejez,definition_es-head,,
H2208,za.qun,mechanical,vejez,definition_es-head,,vejez,1.000,4,0.0013,extreme age,vejez,definition_es-head,,
H2209,ziq.nah,mechanical,vejez,definition_es-head,,vejez,1.000,6,0.0020,old age,vejez,definition_es-head,,
H2210,za.qaph,mechanical,levantar,definition_es-head,,"levantar, es decir (figuradamente) consolar",1.000,2,0.0007,to raise,levantar,definition_es-head,,
H2211,ze.qaph,mechanical,colgar,definition_es-head,,"(arameo) colgar, es decir empalar",1.000,1,0.0003,to raise,colgar,definition_es-head,,
H2212,za.qaq,judgment,colar,definition_es-head,,"colar, (figurativamente) extraer, clarificar",0.429,7,0.0023,to refine,,,no dominant sense (top 0.43),
H2213,zer,judgment,"cornisa, moldura",definition_es-head,,"una cornisa, moldura (como extendida alrededor del borde), guirnalda",0.800,10,0.0033,border,,,no dominant sense (top 0.80),
H2214,za.ra,mechanical,asco,definition_es-head,,asco (disgusto),1.000,1,0.0003,loathsome,asco,definition_es-head,,
H2215,za.rav,mechanical,quemar,tbesh-map,,fluir (escurrirse),1.000,1,0.0003,to burn,quemar,tbesh-map,,
H2216,ze.rub.ba.vel,proper-noun,Zorobabel,defEs-name,,"Zorobabel, un israelita",1.000,21,0.0069,Zerubbabel,Zerubbabel,tbesh-en-placeholder,,Zorobabel
H2217,ze.rub.ba.vel,proper-noun,Zorobabel,defEs-name,,"(arameo) Zorobabel, un israelita",1.000,1,0.0003,Zerubbabel,Zerubbabel,tbesh-en-placeholder,,Zorobabel
H2218,ze.red,proper-noun,Zered,defEs-name,,"Zered, un arroyo al este del Mar Muerto",1.000,4,0.0013,Zered,Zered,tbesh-en-placeholder,,Zered
H2219,za.rah,judgment,esparcir,definition_es-head,,"esparcir; por implicación, difundir, aventar",0.359,39,0.0128,to scatter,,,no dominant sense (top 0.36),
H2220,ze.ro.a,mechanical,brazo,tbesh-map,,"el brazo (como extendido), o (de animales) la pata delantera; figurativamente,…",0.868,91,0.0298,arm,brazo,tbesh-map,,
H2221,ze.ru.a,judgment,algo sembrado,definition_es-head,,"algo sembrado, es decir una planta",0.500,2,0.0007,sowing,,,no dominant sense (top 0.50),
H2222,za.raph,mechanical,lluvia torrencial,definition_es-head,,una lluvia torrencial,1.000,1,0.0003,to drip,lluvia torrencial,definition_es-head,,
H2223,zar.zir,mechanical,ceñido apretadamente,definition_es-head,,"propiamente, ceñido apretadamente, es decir probablemente un corredor, o algún…",1.000,1,0.0003,greyhound,ceñido apretadamente,definition_es-head,,
H2224,za.rach,judgment,levantarse,tbesh-map,,"raíz primitiva; propiamente, irradiar (o lanzar rayos), es decir, salir (como e…",0.500,18,0.0059,to rise,,,no dominant sense (top 0.50),
H2225,ze.rach,mechanical,surgimiento de luz,definition_es-head,,un surgimiento de luz,1.000,1,0.0003,dawning,surgimiento de luz,definition_es-head,,
H2226,ze.rach,proper-noun,Zera,defEs-name,,"Zera, el nombre de tres israelitas, también de un idumeo y un príncipe etíope",1.000,21,0.0069,Zerah,Zerah,tbesh-en-placeholder,,Zera
H2227,zar.chi,proper-noun,zaraíta,defEs-gentilic,,un zaraíta o descendiente de Zera,1.000,6,0.0020,Zerahite,Zerahite,tbesh-en-placeholder,,
H2228,ze.rach.yah,proper-noun,Zeraías,defEs-name,,"Zeraías, nombre de dos israelitas",1.000,5,0.0016,Zerahiah,Zerahiah,tbesh-en-placeholder,,Zeraías
H2229,za.ram,judgment,brotar,definition_es-head,,brotar (como agua),0.500,2,0.0007,to flood,,,no dominant sense (top 0.50),
H2230,ze.rem,judgment,"torrente, chaparrón de agua",definition_es-head,,"un torrente, chaparrón de agua",0.444,9,0.0030,storm,,,no dominant sense (top 0.44),
H2231,zir.mah,mechanical,brote de fluido,definition_es-head,,un brote de fluido (semen),1.000,2,0.0007,discharge,brote de fluido,definition_es-head,,
H2232,za.ra,judgment,sembrar,definition_es-head,,"sembrar; figurativamente, diseminar, plantar, fructificar",0.625,56,0.0184,to sow,,,no dominant sense (top 0.63),
H2233,ze.ra,judgment,simiente / descendencia,hand-weighted,weighted,"semilla / simiente; figurativamente, fruto, planta, tiempo de siembra, posterid…",0.664,229,0.0751,seed,,,no dominant sense (top 0.66),
H2234,ze.ra,mechanical,semilla,tbesh-map,,(arameo) posteridad,1.000,1,0.0003,seed,semilla,tbesh-map,,
H2235,ze.ro.a,mechanical,algo sembrado,definition_es-head,,"algo sembrado (solo en plural), es decir una legumbre (como alimento)",1.000,2,0.0007,vegetable,algo sembrado,definition_es-head,,
H2236,za.raq,mechanical,esparcir,tbesh-map,,rociar (partículas líquidas o sólidas),0.971,35,0.0115,to scatter,esparcir,tbesh-map,,
H2237,za.rar,mechanical,tal vez difundir,definition_es-head,,"tal vez difundir, es decir (específicamente) estornudar",1.000,1,0.0003,to sneeze,tal vez difundir,definition_es-head,,
H2238,ze.resh,proper-noun,Zeres,defEs-name,,"Zeres, la esposa de Amán",1.000,4,0.0013,Zeresh,Zeresh,tbesh-en-placeholder,,Zeres
H2239,ze.ret,mechanical,extensión de los dedos,definition_es-head,,"la extensión de los dedos, es decir, un palmo",1.000,7,0.0023,span,extensión de los dedos,definition_es-head,,
H2240,zat.tu,proper-noun,Zatu,defEs-name,,"Zatu, un israelita",1.000,4,0.0013,Zattu,Zattu,tbesh-en-placeholder,,Zatu
H2241,ze.tam,proper-noun,Zetam,defEs-name,,"Zetam, un israelita",1.000,2,0.0007,Zetham,Zetham,tbesh-en-placeholder,,Zetam
H2242,ze.tar,proper-noun,Zetar,defEs-name,,"Zetar, un eunuco de Jerjes",1.000,1,0.0003,Zethar,Zethar,tbesh-en-placeholder,,Zetar
H2243,chov,mechanical,quien acaricia,definition_es-head,,"propiamente, quien acaricia, es decir el seno",1.000,1,0.0003,breast,quien acaricia,definition_es-head,,
H2244,cha.va,judgment,esconder,definition_es-head,,esconder,0.182,33,0.0108,to hide,,,no dominant sense (top 0.18),
H2245,cha.vav,mechanical,amar,tbesh-map,,"propiamente, esconder (como en el seno), es decir apreciar (con afecto)",1.000,1,0.0003,to love,amar,tbesh-map,,
H2246,cho.vav,proper-noun,Hobab,defEs-name,,"Hobab, suegro de Moisés",1.000,2,0.0007,Hobab,Hobab,tbesh-en-placeholder,,Hobab
H2247,cha.vah,judgment,esconder,tbesh-map,,esconder(se),0.200,5,0.0016,to hide,,,no dominant sense (top 0.20),
H2248,cha.vu.lah,mechanical,crimen / delito,tbesh-head-es,,,1.000,1,0.0003,crime,,tbesh-untranslated,,
H2249,cha.vor,proper-noun,Habor,defEs-name,,"Habor, un río de Asiria",1.000,3,0.0010,Habor,Habor,tbesh-en-placeholder,,Habor
H2250,chab.bu.rah,mechanical,atado,definition_es-head,,"o חַבֻּרָה; o חֲבֻרָה; de H2266 (חָבַר); propiamente, atado (con azotes), es de…",0.857,7,0.0023,wound,atado,definition_es-head,,
H2251,cha.vat,judgment,sacudir,definition_es-head,,sacudir (golpear para desprender),0.800,5,0.0016,to beat,,,no dominant sense (top 0.80),
H2252,cha.vay.yah,proper-noun,Habaías,defEs-name,,"Habaías, un israelita",1.000,2,0.0007,Habaiah,Habaiah,tbesh-en-placeholder,,
H2253,chev.yon,mechanical,escondite,definition_es-head,,un escondite,1.000,1,0.0003,hiding,escondite,definition_es-head,,
H2254,cha.val,judgment,enrollar apretadamente,definition_es-head,,"enrollar apretadamente (como una cuerda), es decir, atar; específicamente, medi…",0.185,27,0.0089,to pledge,,,no dominant sense (top 0.19),
H2255,cha.val,judgment,arruinar,definition_es-head,,(arameo) arruinar (dañar),0.833,6,0.0020,to destroy,,,no dominant sense (top 0.83),
H2256,che.vel,judgment,cuerda,definition_es-head,,"una cuerda (como torcida), especialmente una cuerda de medir; por implicación,…",0.210,62,0.0203,pain,,,no dominant sense (top 0.21),
H2257,cha.val,judgment,daño,definition_es-head,,(arameo) daño (personal o pecuniario),0.667,3,0.0010,harm,,,no dominant sense (top 0.67),
H2258,cha.vol,mechanical,prenda,definition_es-head,,una prenda (como garantía de deuda),1.000,4,0.0013,pledge,prenda,definition_es-head,,
H2259,cho.vel,mechanical,marinero,definition_es-head,,un marinero,1.000,5,0.0016,pilot,marinero,definition_es-head,,
H2260,chib.bel,mechanical,mástil,definition_es-head,,un mástil,1.000,1,0.0003,mast,mástil,definition_es-head,,
H2261,cha.vats.tse.let,mechanical,azafrán silvestre,definition_es-head,,probablemente el azafrán silvestre (cólquico),1.000,2,0.0007,crocus,azafrán silvestre,definition_es-head,,
H2262,cha.vats.tsan.yah,proper-noun,Habazinías,defEs-name,,"Habazinías, un recabita",1.000,1,0.0003,Habazziniah,Habazziniah,tbesh-en-placeholder,,
H2263,cha.vaq,mechanical,abrazar,tbesh-map,,"estrechar (las manos o en abrazo), abrazar",0.923,13,0.0043,to embrace,abrazar,tbesh-map,,
H2264,chib.buq,mechanical,cruzar de manos,definition_es-head,,un cruzar de manos (en ociosidad),1.000,2,0.0007,folding,cruzar de manos,definition_es-head,,
H2265,cha.vaq.quq,proper-noun,Habacuc,defEs-name,,"Habacuc, el profeta",1.000,2,0.0007,Habakkuk,Habakkuk,tbesh-en-placeholder,,Habacuc
H2266,cha.var,judgment,"juntar, unir",definition_es-head,,"juntar, unir (literal o figurativamente); específicamente (por medio de hechizo…",0.448,29,0.0095,to unite,,,no dominant sense (top 0.45),
H2267,che.ver,mechanical,compañía,definition_es-head,,una compañía (asociación); también un conjuro (hechizo),1.000,4,0.0013,spell,compañía,definition_es-head,,
H2268,che.ver,proper-noun,Heber,defEs-name,,"Heber, el nombre de un ceneo y de tres israelitas",1.000,11,0.0036,Heber,Heber,tbesh-en-placeholder,,Heber
H2269,cha.var,judgment,asociado,definition_es-head,,(arameo) un asociado,0.500,6,0.0020,fellow,,,no dominant sense (top 0.50),
H2270,cha.ver,judgment,"asociado, compañero",definition_es-head,,"un asociado, compañero",0.667,12,0.0039,companion,,,no dominant sense (top 0.67),
H2271,chab.bar,mechanical,asociarse / compañero,tbesh-head-es,,,1.000,1,0.0003,associate,,tbesh-untranslated,,
H2272,cha.var.bu.rah,mechanical,raya,definition_es-head,,"una raya (como una línea), como en el tigre",1.000,1,0.0003,spot,raya,definition_es-head,,
H2273,chav.rah,mechanical,asociado,definition_es-head,,(arameo) un asociado,1.000,1,0.0003,associate,asociado,definition_es-head,,
H2274,chev.rah,mechanical,asociación,definition_es-head,,asociación,1.000,1,0.0003,company,asociación,definition_es-head,,
H2275,chev.ron,proper-noun,Hebrón,defEs-name,,"Hebrón, un lugar en Palestina; también el nombre de dos israelitas",0.873,71,0.0233,Hebron,Hebron,tbesh-en-placeholder,,Hebrón
H2276,chev.ro.ni,proper-noun,hebronita,defEs-name,,"hebronita (colectivamente), un habitante de Hebrón",1.000,6,0.0020,Hebronite,Hebronite,tbesh-en-placeholder,,hebronitas
H2277,chev.ri,proper-noun,heberita,defEs-gentilic,,"un heberita, descendientes de Héber",1.000,1,0.0003,Heberite,Heberite,tbesh-en-placeholder,,heberitas
H2278,cha.ve.ret,mechanical,consorte,definition_es-head,,una consorte,1.000,1,0.0003,consort,consorte,definition_es-head,,
H2279,cho.ve.ret,mechanical,juntura,definition_es-head,,una juntura,1.000,4,0.0013,set,juntura,definition_es-head,,
H2280,cha.vash,judgment,envolver firmemente,definition_es-head,,"envolver firmemente (especialmente un turbante, vendaje o albarda); figurativam…",0.364,33,0.0108,to saddle/tie,,,no dominant sense (top 0.36),
H2281,cha.vet,mechanical,algo frito,definition_es-head,,"algo frito, probablemente una torta a la plancha",1.000,1,0.0003,flatbread,algo frito,definition_es-head,,
H2282,chag,mechanical,festival,definition_es-head,,"un festival, o una víctima para él; fiesta",0.919,62,0.0203,feast,festival,definition_es-head,,
H2283,cha.ga,mechanical,vértigo,definition_es-head,,"propiamente, vértigo, es decir (figuradamente) temor",1.000,1,0.0003,terror,vértigo,definition_es-head,,
H2284,cha.gav,mechanical,langosta,tbesh-map,,una langosta,1.000,5,0.0016,locust,langosta,tbesh-map,,
H2285,cha.gav,proper-noun,Hagab,defEs-name,,"Hagab, uno de los sirvientes del templo",1.000,1,0.0003,Hagab,Hagab,tbesh-en-placeholder,,Hagab
H2286,cha.ga.va,proper-noun,Hagaba,defEs-name,,"Hagaba, uno de los sirvientes del templo",1.000,2,0.0007,Hagaba,Hagaba,tbesh-en-placeholder,,Hagaba
H2287,cha.gag,judgment,celebrar,tbesh-head-es,,"raíz primitiva (comparar H2283 (חָגָא), H2328 (חוּג)); propiamente, moverse en…",0.750,16,0.0052,to celebrate,,,no dominant sense (top 0.75),
H2288,cha.gav,mechanical,hendidura en las rocas,definition_es-head,,una hendidura en las rocas,1.000,3,0.0010,cleft,hendidura en las rocas,definition_es-head,,
H2289,cha.gor,mechanical,ceñido,definition_es-head,,ceñido (con cinturón),1.000,1,0.0003,belted,ceñido,definition_es-head,,
H2290,cha.gor,mechanical,cinto,definition_es-head,,"un cinto (para la cintura), cinturón",0.875,8,0.0026,belt,cinto,definition_es-head,,
H2291,chag.gi,proper-noun,Hagui,defEs-name,,"Hagui, un israelita; también (patronímicamente) un haguita, o descendiente del…",0.667,3,0.0010,Haggi,Haggi,tbesh-en-placeholder,,Hagui
H2292,chag.gay,proper-noun,Hageo,defEs-name,,"Hageo, un profeta hebreo",1.000,11,0.0036,Haggai,Haggai,tbesh-en-placeholder,,Hageo
H2293,chag.giy.yah,proper-noun,Haguía,hand-translit,proper-fallback,,1.000,1,0.0003,Haggiah,Haggiah,tbesh-en-placeholder,,Haguía
H2294,chag.git,proper-noun,Haguit,defEs-name,,"Haguit, una esposa de David",1.000,5,0.0016,Haggith,Haggith,tbesh-en-placeholder,,Haguit
H2295,chog.lah,proper-noun,Hogla,defEs-name,,"Hogla, una israelita (mujer)",1.000,4,0.0013,Hoglah,Hoglah,tbesh-en-placeholder,,Hogla
H2296,cha.gar,judgment,ceñirse,definition_es-head,,"ceñirse (como un cinturón, armadura, etc.)",0.477,44,0.0144,to gird,,,no dominant sense (top 0.48),
H2297,chad,mechanical,uno,tbesh-map,,uno,1.000,1,0.0003,one,uno,tbesh-map,,
H2298,chad,mechanical,uno,tbesh-map,,"(arameo) como cardinal, uno; como artículo, un; como ordinal, primero; adverbia…",1.000,14,0.0046,one,uno,tbesh-map,,
H2299,chad,mechanical,afilado,definition_es-head,,afilado (agudo),1.000,4,0.0013,sharp,afilado,definition_es-head,,
H2300,cha.dad,judgment,ser afilado o,definition_es-head,,"ser (causativamente, hacer) afilado o (figurativamente) severo",0.500,6,0.0020,be sharp,,,no dominant sense (top 0.50),
H2301,cha.dad,proper-noun,Hadad,defEs-name,,"Hadad, un ismaelita",1.000,2,0.0007,Hadad,Hadad,tbesh-en-placeholder,,Hadad
H2302,cha.dah,judgment,regocijarse,definition_es-head,,regocijarse,0.667,3,0.0010,to rejoice,,,no dominant sense (top 0.67),
H2303,chad.dud,mechanical,punta,tbesh-head-es,,,1.000,1,0.0003,point,,tbesh-untranslated,,
H2304,ched.vah,mechanical,alegría,tbesh-map,,regocijo,1.000,2,0.0007,joy,alegría,tbesh-map,,
H2305,ched.vah,mechanical,alegría,tbesh-map,,(arameo) regocijo,1.000,1,0.0003,joy,alegría,tbesh-map,,
H2306,cha.di,mechanical,pecho,definition_es-head,,(arameo) un pecho,1.000,1,0.0003,breast,pecho,definition_es-head,,
H2307,cha.did,proper-noun,Hadid,defEs-name,,"Hadid, un lugar en Palestina",1.000,3,0.0010,Hadid,Hadid,tbesh-en-placeholder,,Hadid
H2308,cha.dal,judgment,cesar,tbesh-head-es,low-confidence,"una raíz primitiva; propiamente, estar flácido, es decir, (por implicación) des…",0.724,58,0.0190,to cease,,,no dominant sense (top 0.72),
H2309,che.del,mechanical,mundo,tbesh-map,,"descanso, es decir el estado de los muertos",1.000,1,0.0003,world,mundo,tbesh-map,,
H2310,cha.del,judgment,vacío,definition_es-head,,"vacío, es decir que cesa o queda desprovisto",0.333,3,0.0010,rejected/fleeting,,,no dominant sense (top 0.33),
H2311,chad.lay,proper-noun,Hadlai,defEs-name,,"Hadlai, un israelita",1.000,1,0.0003,Hadlai,Hadlai,tbesh-en-placeholder,,Hadlai
H2312,che.deq,judgment,planta espinosa,definition_es-head,,una planta espinosa,0.500,2,0.0007,briar,,,no dominant sense (top 0.50),
H2313,chid.de.qel,proper-noun,el río Hidekel,defEs-name,proper-mismatch,el río Hidekel (o Tigris),1.000,2,0.0007,Tigris,Tigris,tbesh-en-placeholder,,río
H2314,cha.dar,mechanical,rodear / cercar,tbesh-head-es,,,1.000,1,0.0003,to surround,,tbesh-untranslated,,
H2315,che.der,judgment,aposento,definition_es-head,,un aposento (usualmente literal),0.474,38,0.0125,chamber,,,no dominant sense (top 0.47),
H2317,chad.rakh,proper-noun,Hadrac,defEs-name,,"Hadrac, una deidad siria",1.000,1,0.0003,Hadrach,Hadrach,tbesh-en-placeholder,,Hadrac
H2318,cha.dash,mechanical,ser nuevo,definition_es-head,,"ser nuevo; causativamente, renovar, reedificar",0.900,10,0.0033,to renew,ser nuevo,definition_es-head,,
H2319,cha.dash,mechanical,nuevo,tbesh-map,,nuevo,1.000,53,0.0174,new,nuevo,tbesh-map,,
H2320,cho.desh,mechanical,mes,tbesh-map,,"la luna nueva; por implicación, un mes",0.898,283,0.0928,month,mes,tbesh-map,,
H2321,cho.desh,proper-noun,Hodes,defEs-name,,"Hodes, una israelita",1.000,1,0.0003,Hodesh,Hodesh,tbesh-en-placeholder,,Hodes
H2322,cha.da.shah,proper-noun,Hadasa,defEs-name,,"Hadasa, un lugar en Palestina",1.000,1,0.0003,Hadashah,Hadashah,tbesh-en-placeholder,,Hadasa
H2323,cha.dat,mechanical,nuevo,tbesh-map,,(arameo) nuevo,1.000,1,0.0003,new,nuevo,tbesh-map,,
H2324,cha.vah,judgment,"mostrar, declarar",definition_es-head,,"(arameo) mostrar, declarar",0.786,14,0.0046,to show,,,no dominant sense (top 0.79),
H2325,chuv,mechanical,tal vez atar,definition_es-head,,"propiamente, tal vez atar, es decir (figurada y reflexivamente) adeudar, o (por…",1.000,1,0.0003,to endanger,tal vez atar,definition_es-head,,
H2326,chov,mechanical,deuda,definition_es-head,,deuda,1.000,1,0.0003,debtor,deuda,definition_es-head,,
H2327,cho.vah,proper-noun,Hoba,defEs-name,,"Hoba, un lugar en Siria",1.000,1,0.0003,Hobah,Hobah,tbesh-en-placeholder,,Hoba
H2328,chug,mechanical,trazar un círculo,definition_es-head,,trazar un círculo,1.000,1,0.0003,to mark,trazar un círculo,definition_es-head,,
H2329,chug,mechanical,círculo,definition_es-head,,un círculo,1.000,3,0.0010,circle,círculo,definition_es-head,,
H2330,chud,judgment,enigma / acertijo,tbesh-head-es,,"raíz primitiva; propiamente, atar un nudo, es decir (figurativamente) proponer…",0.500,4,0.0013,to riddle,,,no dominant sense (top 0.50),
H2331,cha.vah,judgment,explicar,tbesh-head-es,,"raíz primitiva; (compárense H2324 (חֲוָא), H2421 (חָיָה)); propiamente, vivir;…",0.667,6,0.0020,to explain,,,no dominant sense (top 0.67),
H2332,chav.vah,proper-noun,Eva,defEs-name,,"Eva, la primera mujer",1.000,2,0.0007,Eve,Eve,tbesh-en-placeholder,,Eva
H2333,chav.vah,mechanical,aldea,tbesh-map,,"propiamente, lo mismo que H2332 (חַוָּה) (dador de vida, es decir, lugar de hab…",1.000,3,0.0010,village,aldea,tbesh-map,,
H2334,chau.vot ya.ir,proper-noun,las aldeas de Jair,defEs-name,,"las aldeas de Jair, una región de Palestina",0.500,8,0.0026,Havvoth-jair,Havvoth-jair,tbesh-en-placeholder,,
H2335,cho.zay,proper-noun,Hozai,defEs-name,,"Hozai, un israelita",1.000,1,0.0003,seer,seer,tbesh-en-placeholder,,
H2336,cho.ach,judgment,"espino, cardo",definition_es-head,,"un espino, cardo; por analogía, un anillo para la nariz, garfio",0.417,12,0.0039,thistle,,,no dominant sense (top 0.42),
H2338,chut,mechanical,unir en hilera,definition_es-head,,"(arameo) unir en hilera, es decir (figuradamente) reparar",1.000,1,0.0003,to repair,unir en hilera,definition_es-head,,
H2339,chut,judgment,"hilo, cordón",definition_es-head,,"un hilo, cordón; por implicación, una cinta de medir",0.714,7,0.0023,thread,,,no dominant sense (top 0.71),
H2340,chiv.vi,proper-noun,heveo,defEs-gentilic,,"un heveo, una de las tribus aborígenes de Palestina",1.000,25,0.0082,Hivite,Hivite,tbesh-en-placeholder,,heveo
H2341,cha.vi.lah,proper-noun,Havila,defEs-name,,"Havila, el nombre de dos o tres regiones orientales; también quizás de dos homb…",1.000,7,0.0023,Havilah,Havilah,tbesh-en-placeholder,,Havila
H2342,chul,judgment,torcer,tbesh-head-es,low-confidence,"o חִיל; una raíz primitiva; propiamente, torcer o girar (de manera circular o e…",0.103,58,0.0190,to twist,,,no dominant sense (top 0.10),
H2343,chul,proper-noun,Hul,defEs-name,,"Hul, un hijo de Aram; también la región que él colonizó",1.000,2,0.0007,Hul,Hul,tbesh-en-placeholder,,Hul
H2344,chol,mechanical,arena,tbesh-map,,arena (como partículas redondas o que se arremolinan),1.000,23,0.0075,sand,arena,tbesh-map,,
H2345,chum,judgment,oscurecido,tbesh-head-es,,tostado por el sol o moreno (negruzco),1.000,4,0.0013,darkened,,,definition_es not condensable to a terse gloss,
H2346,cho.mah,judgment,muro de protección,definition_es-head,,un muro de protección,0.872,133,0.0436,wall,,,4 recurring senses,
H2347,chus,judgment,compasión / lástima,tbesh-head-es,,"raíz primitiva; propiamente, cubrir, es decir, (figurativamente) compadecerse,…",0.375,24,0.0079,to pity,,,no dominant sense (top 0.38),
